date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:09:27	26710/26710	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202017%2003:06:29%20GMT	http://www.udghosh.org/Informals/AdventureVilla.html	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/AdventureVilla.html	(from http://www.udghosh.org/)
07:09:28	26716/26716	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202017%2003:05:36%20GMT	http://www.udghosh.org/Gallery/	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Gallery/index.html	(from http://www.udghosh.org/)
07:09:28	75440/75440	---M--	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202017%2009:09:58%20GMT	http://www.udghosh.org/Events/	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Events/index.html	(from http://www.udghosh.org/)
07:09:29	53970/53970	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202017%2003:07:23%20GMT	http://www.udghosh.org/Team/	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Team/index.html	(from http://www.udghosh.org/)
07:09:30	35583/35583	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202017%2003:06:02%20GMT	http://www.udghosh.org/Hospitality/	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Hospitality/index.html	(from http://www.udghosh.org/)
07:09:31	18357/18357	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202017%2009:55:17%20GMT	http://www.udghosh.org/SignUp/	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/SignUp/index.html	(from http://www.udghosh.org/)
07:09:33	13957/13957	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Oct%202017%2013:34:55%20GMT	http://www.udghosh.org/img/google-play-badge.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/img/google-play-badge.png	(from http://www.udghosh.org/)
07:09:35	28047/28047	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202017%2015:12:17%20GMT	http://www.udghosh.org/img/tracing-the-roots.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/img/tracing-the-roots.png	(from http://www.udghosh.org/)
07:09:36	4219/4219	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202017%2015:32:20%20GMT	http://www.udghosh.org/js/index.js	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/js/index.js	(from http://www.udghosh.org/)
07:09:37	1550/1550	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Aug%202017%2015:32:21%20GMT	http://www.udghosh.org/js/main.js	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/js/main.js	(from http://www.udghosh.org/)
